Trainn acc .	Test acc .	
 3.8242e+02	 4.0254e+02	
 3.8182e+02	 4.0195e+02	
 3.8122e+02	 4.0135e+02	
 3.8062e+02	 4.0076e+02	
 3.8003e+02	 4.0017e+02	
 3.7943e+02	 3.9958e+02	
 3.7883e+02	 3.9900e+02	
 3.7824e+02	 3.9841e+02	
 3.7765e+02	 3.9783e+02	
 3.7705e+02	 3.9724e+02	
 3.7646e+02	 3.9665e+02	
 3.7587e+02	 3.9607e+02	
 3.7528e+02	 3.9549e+02	
 3.7469e+02	 3.9491e+02	
 3.7410e+02	 3.9432e+02	
 3.7351e+02	 3.9374e+02	
 3.7292e+02	 3.9316e+02	
 3.7233e+02	 3.9257e+02	
 3.7174e+02	 3.9199e+02	
 3.7115e+02	 3.9140e+02	
 3.7056e+02	 3.9082e+02	
 3.6997e+02	 3.9024e+02	
 3.6939e+02	 3.8966e+02	
 3.6880e+02	 3.8908e+02	
 3.6821e+02	 3.8850e+02	
 3.6763e+02	 3.8792e+02	
 3.6704e+02	 3.8734e+02	
 3.6646e+02	 3.8677e+02	
 3.6587e+02	 3.8619e+02	
 3.6529e+02	 3.8561e+02	
 3.6471e+02	 3.8503e+02	
 3.6412e+02	 3.8445e+02	
 3.6354e+02	 3.8387e+02	
 3.6296e+02	 3.8329e+02	
 3.6238e+02	 3.8272e+02	
 3.6179e+02	 3.8214e+02	
 3.6121e+02	 3.8156e+02	
 3.6063e+02	 3.8098e+02	
 3.6005e+02	 3.8041e+02	
 3.5947e+02	 3.7983e+02	
 3.5889e+02	 3.7925e+02	
 3.5831e+02	 3.7867e+02	
 3.5772e+02	 3.7810e+02	
 3.5714e+02	 3.7752e+02	
 3.5656e+02	 3.7694e+02	
 3.5598e+02	 3.7637e+02	
 3.5540e+02	 3.7579e+02	
 3.5482e+02	 3.7522e+02	
 3.5424e+02	 3.7464e+02	
 3.5366e+02	 3.7407e+02	
 3.5308e+02	 3.7350e+02	
 3.5251e+02	 3.7292e+02	
 3.5193e+02	 3.7235e+02	
 3.5135e+02	 3.7178e+02	
 3.5078e+02	 3.7121e+02	
 3.5020e+02	 3.7064e+02	
 3.4963e+02	 3.7007e+02	
 3.4905e+02	 3.6950e+02	
 3.4848e+02	 3.6894e+02	
 3.4791e+02	 3.6837e+02	
 3.4733e+02	 3.6780e+02	
 3.4676e+02	 3.6724e+02	
 3.4619e+02	 3.6667e+02	
 3.4562e+02	 3.6610e+02	
 3.4505e+02	 3.6554e+02	
 3.4448e+02	 3.6497e+02	
 3.4390e+02	 3.6440e+02	
 3.4333e+02	 3.6384e+02	
 3.4276e+02	 3.6327e+02	
 3.4220e+02	 3.6270e+02	
 3.4163e+02	 3.6213e+02	
 3.4106e+02	 3.6156e+02	
 3.4049e+02	 3.6100e+02	
 3.3992e+02	 3.6043e+02	
 3.3936e+02	 3.5986e+02	
 3.3879e+02	 3.5930e+02	
 3.3823e+02	 3.5873e+02	
 3.3766e+02	 3.5816e+02	
 3.3710e+02	 3.5759e+02	
 3.3653e+02	 3.5702e+02	
 3.3597e+02	 3.5645e+02	
 3.3541e+02	 3.5588e+02	
 3.3484e+02	 3.5531e+02	
 3.3428e+02	 3.5474e+02	
 3.3372e+02	 3.5417e+02	
 3.3316e+02	 3.5360e+02	
 3.3260e+02	 3.5303e+02	
 3.3205e+02	 3.5247e+02	
 3.3149e+02	 3.5190e+02	
 3.3093e+02	 3.5133e+02	
 3.3037e+02	 3.5077e+02	
 3.2982e+02	 3.5020e+02	
 3.2926e+02	 3.4964e+02	
 3.2871e+02	 3.4907e+02	
 3.2815e+02	 3.4851e+02	
 3.2760e+02	 3.4794e+02	
 3.2704e+02	 3.4738e+02	
 3.2649e+02	 3.4681e+02	
 3.2594e+02	 3.4625e+02	
 3.2539e+02	 3.4568e+02	
 3.2484e+02	 3.4512e+02	
 3.2428e+02	 3.4455e+02	
 3.2373e+02	 3.4398e+02	
 3.2318e+02	 3.4342e+02	
 3.2263e+02	 3.4286e+02	
 3.2209e+02	 3.4230e+02	
 3.2154e+02	 3.4174e+02	
 3.2099e+02	 3.4118e+02	
 3.2044e+02	 3.4061e+02	
 3.1990e+02	 3.4005e+02	
 3.1935e+02	 3.3949e+02	
 3.1881e+02	 3.3894e+02	
 3.1826e+02	 3.3838e+02	
 3.1772e+02	 3.3782e+02	
 3.1717e+02	 3.3726e+02	
 3.1663e+02	 3.3670e+02	
 3.1609e+02	 3.3614e+02	
